Nan,Data
1,-0.003231875
1,0.024343229
1,-0.001452448
1,0.00162474
1,0.03748526
1,0.000751823
1,0.002822656
1,0.05289099
1,-0.012751458
1,-0.011974219
1,-0.005879271
1,0.010295312
1,-0.007475156
1,0.095311667
1,0.14966401
1,0.080900781
1,0.063210677
1,0.000258229
1,0.169214531
1,0.008209688
1,0.003548906
1,0.199279062
1,0.025874271
1,-0.002027865
1,0.09898474
1,0.03560901
1,-0.002497448
1,0.015030781
1,-0.002459896
1,0.006733594
1,-0.006823073
1,-0.003983802
1,-0.007435469
1,0.000473333
1,0.184610781
1,-0.01442375
1,0.088280938
1,0.213270313
1,0.014129583
1,0.310669896
1,0.268491094
1,0.110287396
1,0.009153021
1,0.121635781
1,-0.007911667
1,0.004686094
1,-0.001931667
1,0.052111458
1,0.091094583
1,0.247853854
1,0.124825833
1,0.000628021
1,0.12782026
1,0.20320151
1,0.005742917
1,-0.023603177
1,-0.006521042
1,0.247698177
1,0.05017151
1,0.05670375
1,0.000621615
1,0.184256875
1,0.004612135
1,0.127175677
1,0.01746349
1,0.006850052
1,0.08448375
1,0.090079896
1,0.137851563
1,-0.018344375
1,0.109191198
1,0.156561094
1,-0.003306354
1,0.003794167
1,0.013981562
1,0.000190417
1,-0.012215156
1,0.282197344
1,0.262669375
1,0.087438229
1,0.114634271
1,-0.001064688
1,0.024014583
1,0.01541224
1,0.055842813
1,0.001870781
1,0.332111667
1,0.012391719
1,-0.006877604
1,0.115949635
1,0.021509792
1,0.267938802
1,-0.000845
1,0.009961354
1,0.102944219
1,0.003055833
1,-0.006003802
1,-0.01835974
1,-0.000365833
1,0.155346615
1,0.077457969
1,0.009562708
1,0.011100417
1,-0.012846354
1,-0.004038021
1,0.173615417
1,-0.02138526
1,0.0363025
1,0.000572187
1,0.178135677
1,0.323421094
1,0.010320469
1,0.003796667
1,0.110283229
1,0.010363073
1,0.018247031
1,0.005634635
1,0.018373958
1,0.194150885
1,0.015048333
1,0.010266771
1,9.91E-05
1,-0.003767656
1,-0.008399167
1,-0.018415
1,0.127242552
1,0.134845885
1,0.090592448
1,0.100145365
1,0.216357135
1,0.000474167
1,-0.014189115
1,0.045282656
1,0.013189635
1,-0.014524844
1,0.002249635
1,-0.011007708
1,0.120209688
1,0.076998646
1,0.029530625
1,0.20260974
1,-0.001691667
1,0.056005573
1,-0.022987969
1,0.243432708
1,0.083663021
1,0.129927604
1,-0.004721823
1,0.120843281
1,0.072314271
1,-0.007476198
1,0.234151354
1,-0.005105937
1,-0.006565781
1,0.107803542
1,-0.007830729
